Driver,Team,TeamColor,StintNumber,StintID,Label,Compound,LapStart,LapEnd,TotalLaps,CleanLaps,AvgLapTime,DegradationSlope,StintLength,TyreLifeStart,AvgTrackTemp,CompoundEncoded,RegressionR2,RegressionIntercept,LapTimeStd,BestLapTime,WorstLapTime,AvgSpeedST,AvgAirTemp,HasSafetyCar,LapTimeSeries,DegradationZScore,IsOutlier
ALB,Williams,#888888,1,ALB_S1,ALB-M1,MEDIUM,1,17,17,15,86.06179999999999,-0.03203571428571433,17,1,49.157336639362185,1,0.11335614120918999,86.28604999999999,0.4255267659870851,85.468,87.011,324.47058823529414,33.3406125985061,False,"[87.011, 86.282, 86.527, 86.039, 85.946, 85.99, 85.963, 85.666, 85.711, 85.734, 85.468, 85.533, 86.14, 86.463, 86.454]",0.23071409990453642,False
ALB,Williams,#888888,2,ALB_S2,ALB-H2,HARD,18,53,36,35,84.79491428571428,-0.03224733893557417,36,1,45.28104088836071,2,0.3900052559338884,85.34311904761904,0.5291189331125377,83.918,86.282,327.75,32.51455205638358,False,"[85.254, 85.074, 84.86, 85.053, 85.132, 85.196, 84.707, 85.065, 84.949, 84.793, 84.871, 84.754, 85.229, 84.412, 86.282, 85.57, 84.994, 84.748, 85.882, 85.214, 84.971, 84.552, 84.372, 84.874, 84.669, 84.678, 84.569, 84.554, 84.383, 84.149, 84.262, 83.956, 83.921, 83.955, 83.918]",-0.3081335549579217,False
MAG,Haas F1 Team,#888888,1,MAG_S1,MAG-M1,MEDIUM,1,14,14,12,86.17091666666666,-0.06401748251748236,14,1,49.43808765246122,1,0.31963160861443407,86.5230128205128,0.4082680621920605,85.785,87.205,326.85714285714283,33.44343110058233,False,"[87.205, 86.584, 86.372, 86.142, 85.902, 85.825, 85.966, 85.785, 85.799, 86.04, 86.145, 86.286]",-0.03889092836256548,False
MAG,Haas F1 Team,#888888,2,MAG_S2,MAG-H2,HARD,15,53,39,38,84.58107894736843,-0.04566549950760483,39,1,45.47207695067766,2,0.6352101136609362,85.42589068825912,0.6367412551667238,83.437,86.533,324.9230769230769,32.54099106550905,False,"[85.644, 84.769, 86.533, 85.109, 85.154, 84.793, 85.071, 85.057, 85.131, 85.504, 85.199, 84.64, 84.415, 84.799, 84.573, 84.458, 84.408, 84.853, 84.702, 84.17, 84.276, 83.95, 84.803, 84.463, 84.282, 84.625, 84.628, 84.605, 85.205, 84.272, 84.124, 83.971, 83.741, 83.708, 83.603, 83.437, 83.691, 83.715]",-0.40222247795426175,False
ALO,Aston Martin,#888888,1,ALO_S1,ALO-M1,MEDIUM,1,12,12,10,86.1388,-0.12784242424242515,12,2,49.74837456965242,1,0.7052040268526698,86.71409090909091,0.46091763544766723,85.693,87.236,326.0,33.51838158678333,False,"[87.236, 86.41, 86.411, 86.218, 85.911, 85.95, 85.693, 85.969, 85.832, 85.758]",-0.576932636788393,False
ALO,Aston Martin,#888888,2,ALO_S2,ALO-H2,HARD,13,35,23,21,85.02957142857142,-0.0016844155844155067,23,2,46.37502127982589,2,0.0008402321961408613,85.04641558441557,0.36056200180115505,84.504,85.832,324.2173913043478,32.698199653875186,False,"[85.832, 84.67, 84.614, 84.574, 84.882, 85.314, 85.676, 85.297, 85.451, 85.017, 84.588, 84.504, 84.937, 84.891, 84.725, 85.011, 85.039, 85.128, 85.099, 85.289, 85.083]",-0.09382455736518985,False
ALO,Aston Martin,#888888,3,ALO_S3,ALO-H3,HARD,36,53,18,17,83.55982352941176,-0.01784068627450962,18,3,44.562237755535364,2,0.14115987869549235,83.70254901960783,0.23978720652229155,82.944,83.847,324.1111111111111,32.389245669368975,False,"[83.703, 83.847, 83.77, 83.683, 83.822, 83.637, 83.681, 83.529, 83.484, 82.944, 83.221, 83.245, 83.525, 83.511, 83.468, 83.761, 83.686]",-0.20711326789358375,False
COL,Williams,#888888,1,COL_S1,COL-M1,MEDIUM,1,16,16,14,86.65,-0.032202197802197775,16,1,49.242247167990314,1,0.07741619114745442,86.85931428571429,0.4841597002897025,86.057,87.845,326.875,33.36461927836781,False,"[87.845, 86.578, 86.25, 87.151, 86.057, 87.204, 86.385, 86.222, 86.289, 86.607, 86.5, 86.41, 86.93, 86.672]",0.22931065051292518,False
COL,Williams,#888888,2,COL_S2,COL-H2,HARD,17,53,37,36,84.87522222222225,-0.01180849420849421,37,1,45.3268011685671,2,0.0806081312468937,85.0818708708709,0.4381941586042891,83.728,85.979,327.02702702702703,32.52122204893531,False,"[84.485, 84.928, 85.148, 84.784, 84.852, 84.649, 84.635, 84.916, 84.639, 84.497, 85.005, 85.634, 85.412, 85.586, 85.433, 84.868, 84.921, 84.798, 84.84, 85.345, 85.194, 85.128, 85.147, 84.801, 84.62, 85.979, 85.161, 84.812, 84.939, 84.697, 84.538, 84.474, 84.3, 84.186, 84.429, 83.728]",-0.16481518599542058,False
RIC,RB,#888888,1,RIC_S1,RIC-M1,MEDIUM,1,11,11,9,86.22611111111111,-0.13518333333333366,11,1,49.93495750246209,1,0.6407444909241582,86.76684444444444,0.46249957957939086,85.713,87.177,324.1818181818182,33.549393742882366,False,"[87.177, 86.588, 86.488, 86.251, 85.899, 85.713, 85.993, 85.815, 86.111]",-0.6388162070968881,False
RIC,RB,#888888,2,RIC_S2,RIC-H2,HARD,12,53,42,41,85.02170731707318,-0.016889024390243954,42,2,45.62192796421061,2,0.2742810672812835,85.35948780487806,0.3863070180505682,84.219,86.122,319.45238095238096,32.57417095206054,False,"[86.122, 85.827, 85.572, 85.398, 85.028, 85.062, 84.897, 84.753, 84.991, 85.08, 84.848, 84.931, 85.047, 84.906, 85.595, 85.38, 84.835, 84.97, 84.875, 84.69, 84.662, 84.777, 85.588, 85.081, 85.095, 85.288, 85.033, 85.025, 84.945, 84.954, 85.179, 84.776, 85.063, 85.685, 84.775, 84.518, 84.617, 84.817, 84.639, 84.219, 84.347]",-0.20044015936529064,False
OCO,Alpine,#888888,1,OCO_S1,OCO-H1,HARD,1,31,31,29,86.33113793103449,0.010648275862069062,31,1,47.779539108711816,2,0.04118580898536743,86.18206206896552,0.4467602204553143,85.369,87.519,322.1290322580645,33.02695690562619,False,"[86.837, 86.466, 86.297, 86.568, 85.684, 86.006, 86.053, 85.369, 86.035, 86.349, 85.954, 86.059, 86.307, 86.677, 86.694, 86.002, 86.234, 86.174, 87.326, 86.45, 86.327, 86.201, 86.77, 87.519, 86.383, 86.725, 86.013, 86.099, 86.025]",-0.0073470070618623234,False
OCO,Alpine,#888888,2,OCO_S2,OCO-M2,MEDIUM,32,52,21,20,84.9442,-0.0037368421052630077,21,1,44.78039244389548,1,0.0020989266086823208,84.9797,0.4825475815099,84.343,86.111,315.6666666666667,32.43981909202363,False,"[84.652, 84.965, 85.019, 84.942, 84.613, 84.845, 85.267, 85.211, 85.06, 85.119, 86.111, 84.669, 84.587, 84.449, 84.506, 84.458, 85.79, 85.688, 84.59, 84.343]",0.46927246162010755,False
