kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,TrackTemp,SpeedST,Compound_Num,pca_x,pca_y
0,RUS,7.0,Mercedes,76.007,6.0,MEDIUM,1.158999999999999,1.815999999999999,1.043999999999997,7.0,27.5,320.0,2,-0.023761708614389962,-0.06338109980951764
1,HAM,7.0,Ferrari,76.036,7.0,MEDIUM,1.2850000000000001,1.8999999999999986,0.8629999999999995,7.0,27.5,303.0,2,0.10427847655730671,-0.8646050090288349
1,LAW,7.0,Racing Bulls,76.237,8.0,MEDIUM,1.288999999999998,1.681000000000001,1.279,7.0,27.5,301.0,2,0.13173943305675134,-0.9287610439765048
1,SAI,7.0,Williams,76.345,9.0,MEDIUM,1.3739999999999988,1.873000000000001,1.1099999999999994,7.0,27.5,298.0,2,0.3576263761900624,-1.1150450817461728
1,ALB,7.0,Williams,76.57,10.0,MEDIUM,1.3069999999999986,2.189,1.0859999999999985,7.0,27.5,299.0,2,0.6478581756404699,-1.0486083126435826
1,TSU,7.0,Red Bull Racing,76.636,11.0,SOFT,1.4420000000000002,2.3969999999999985,0.8089999999999975,7.0,27.5,286.0,1,0.726391178185888,-2.425800815940067
1,ANT,7.0,Mercedes,76.701,12.0,MEDIUM,1.360999999999997,2.3659999999999997,0.9859999999999971,7.0,27.5,306.0,2,0.8698714556700516,-0.7892470492995098
1,ALO,7.0,Aston Martin,76.789,13.0,MEDIUM,1.4919999999999973,2.242000000000001,1.0670000000000002,7.0,27.5,307.0,2,0.9419155402821967,-0.8093386358547907
1,COL,7.0,Alpine,76.696,14.0,SOFT,1.5,2.201999999999998,1.0059999999999967,7.0,27.5,303.0,1,0.7077979329518468,-1.7184863333390175
1,GAS,7.0,Alpine,76.734,15.0,MEDIUM,1.3569999999999993,2.219000000000001,1.1699999999999982,7.0,27.5,303.0,2,0.8111543258363151,-0.9028867748683579
1,HUL,7.0,Kick Sauber,77.08,16.0,SOFT,1.8170000000000002,2.1069999999999993,1.1679999999999993,7.0,27.5,301.0,1,1.1103542721606745,-1.96384579392983
0,OCO,7.0,Haas F1 Team,77.064,17.0,HARD,1.730999999999998,2.190999999999999,1.154,7.0,27.5,304.0,3,1.3943930828855486,-0.3263028585886392
1,STR,7.0,Aston Martin,77.08,18.0,MEDIUM,1.5969999999999978,2.4319999999999986,1.0629999999999988,7.0,27.7,303.0,2,1.2563178626001477,-1.052604099441888
1,BOR,7.0,Kick Sauber,77.01,19.0,MEDIUM,1.564,2.3999999999999986,1.0579999999999998,7.0,27.7,312.0,2,1.1756266893756095,-0.6506438650647581
0,BEA,7.0,Haas F1 Team,76.961,20.0,HARD,1.3569999999999993,2.306000000000001,1.3099999999999987,7.0,27.7,302.0,3,1.1159796943285423,-0.21961364975244005
3,PIA,8.0,McLaren,75.271,1.0,MEDIUM,0.8859999999999992,1.5539999999999985,0.843,8.0,27.7,288.0,2,-0.9005079458352965,-1.223451507364042
1,VER,8.0,Red Bull Racing,75.753,2.0,SOFT,0.9969999999999999,1.8539999999999992,0.9139999999999979,8.0,27.7,291.0,1,-0.4823761879341383,-1.8965320247738704
3,NOR,8.0,McLaren,75.13,3.0,MEDIUM,0.8089999999999975,1.7289999999999992,0.6039999999999992,8.0,27.7,292.0,2,-0.9494204197943348,-1.0269264909815174
1,HAD,8.0,Racing Bulls,75.539,4.0,MEDIUM,0.8029999999999973,1.8879999999999981,0.8599999999999994,8.0,27.7,292.0,2,-0.5776497295131915,-1.019772561445891
1,LEC,8.0,Ferrari,75.784,5.0,MEDIUM,1.2779999999999987,1.6280000000000001,0.889999999999997,8.0,27.7,306.0,2,-0.2624454497011237,-0.6671955510344053
1,RUS,8.0,Mercedes,75.957,6.0,MEDIUM,1.0829999999999984,1.782,1.1039999999999992,8.0,27.7,307.0,2,-0.16860314917297803,-0.517754721398941
1,HAM,8.0,Ferrari,75.962,7.0,MEDIUM,1.1649999999999991,1.8900000000000006,0.9189999999999969,8.0,27.7,300.0,2,-0.06451510318715568,-0.8704680957503561
1,LAW,8.0,Racing Bulls,76.203,8.0,MEDIUM,1.2059999999999995,1.8210000000000015,1.1879999999999988,8.0,27.7,299.0,2,0.09290666169273099,-0.9225551391840504
1,SAI,8.0,Williams,76.204,9.0,MEDIUM,1.203999999999997,1.9140000000000015,1.097999999999999,8.0,27.7,297.0,2,0.1408604582920349,-1.0132963808274367
1,ALB,8.0,Williams,76.641,10.0,MEDIUM,1.2560000000000002,2.2689999999999984,1.1280000000000001,8.0,27.7,300.0,2,0.6716605277733034,-0.9246664950047925
1,TSU,8.0,Red Bull Racing,77.034,11.0,SOFT,1.5219999999999985,2.3820000000000014,1.1419999999999995,8.0,27.7,298.0,1,1.0129830771027466,-1.8891808250980573
1,ANT,8.0,Mercedes,76.739,12.0,MEDIUM,1.2679999999999971,2.3210000000000015,1.161999999999999,8.0,27.7,307.0,2,0.7796794099526096,-0.633465089720488
1,ALO,8.0,Aston Martin,76.726,13.0,MEDIUM,1.4789999999999992,2.1000000000000014,1.158999999999999,8.0,27.7,313.0,2,0.7768717096582802,-0.4830753385993138
1,COL,8.0,Alpine,76.742,14.0,SOFT,1.4719999999999978,2.2910000000000004,0.9909999999999997,8.0,27.7,308.0,1,0.7339885673161213,-1.4388944617759183
1,GAS,8.0,Alpine,76.766,15.0,MEDIUM,1.3699999999999974,2.213000000000001,1.1949999999999967,8.0,27.7,310.0,2,0.8014050408090707,-0.5552019519793447
1,HUL,8.0,Kick Sauber,76.748,16.0,SOFT,1.4889999999999972,2.0700000000000003,1.200999999999997,8.0,27.7,307.0,1,0.6298264293772031,-1.4750039111335715
0,OCO,8.0,Haas F1 Team,76.673,17.0,HARD,1.4319999999999986,1.9989999999999988,1.2539999999999978,8.0,27.7,309.0,3,0.8055075067118738,0.11237070042897047
4,STR,8.0,Aston Martin,79.763,20.0,MEDIUM,1.4420000000000002,2.1769999999999996,4.155999999999999,8.0,27.7,310.0,2,2.9528122666804473,-0.482220265853756
1,BOR,8.0,Kick Sauber,76.684,18.0,MEDIUM,1.4899999999999984,2.2079999999999984,0.9979999999999976,8.0,27.7,314.0,2,0.8113454805366412,-0.4561474948143016
0,BEA,8.0,Haas F1 Team,76.819,19.0,HARD,1.386999999999997,2.1209999999999987,1.3229999999999968,8.0,27.7,308.0,3,0.9478627452973818,0.0921232778400143
3,PIA,9.0,McLaren,75.021,1.0,MEDIUM,0.7479999999999976,1.4519999999999982,0.8329999999999984,9.0,27.5,291.0,2,-1.147632795271954,-0.9435298248468301
1,VER,9.0,Red Bull Racing,76.606,3.0,SOFT,1.6600000000000001,1.9549999999999983,1.0030000000000001,9.0,27.5,301.0,1,0.6243647192730069,-1.7502517910709854
3,NOR,9.0,McLaren,75.061,2.0,MEDIUM,0.6630000000000003,1.4549999999999983,0.9549999999999983,9.0,27.5,315.0,2,-1.1530409616076314,0.12869501932192218
1,HAD,9.0,Racing Bulls,75.6,4.0,MEDIUM,0.7949999999999982,1.8640000000000008,0.9529999999999994,9.0,27.5,298.0,2,-0.4862693189606902,-0.6804892330064186
1,LEC,9.0,Ferrari,75.97,5.0,MEDIUM,1.1799999999999997,1.6739999999999995,1.1280000000000001,9.0,27.5,305.0,2,-0.10035140808797305,-0.5750207252177063
1,RUS,9.0,Mercedes,75.985,6.0,MEDIUM,1.0380000000000003,1.7929999999999993,1.1659999999999968,9.0,27.5,308.0,2,-0.10596690776327684,-0.3740525044997345
1,HAM,9.0,Ferrari,75.856,7.0,MEDIUM,1.193999999999999,1.6729999999999983,1.0009999999999977,9.0,27.5,305.0,2,-0.17387013066623683,-0.5872004015940486
1,LAW,9.0,Racing Bulls,76.153,8.0,MEDIUM,1.2739999999999974,1.6980000000000004,1.1929999999999978,9.0,27.5,302.0,2,0.0945740345555422,-0.7515067777501555
1,SAI,9.0,Williams,76.292,9.0,MEDIUM,0.9979999999999976,2.1320000000000014,1.1739999999999995,9.0,27.5,296.0,2,0.2630581810691279,-0.8754344103279017
1,ALB,9.0,Williams,76.511,10.0,MEDIUM,1.2099999999999973,2.2319999999999993,1.0809999999999995,9.0,27.5,301.0,2,0.5959232034036053,-0.7828011168960856
1,TSU,9.0,Red Bull Racing,76.736,11.0,SOFT,1.3520000000000003,2.3019999999999996,1.0939999999999976,9.0,27.5,297.0,1,0.7229500846094108,-1.764721140912254
1,ANT,9.0,Mercedes,76.651,12.0,MEDIUM,1.3490000000000002,2.282,1.032,9.0,27.5,299.0,2,0.8004307180655343,-0.9459129903568135
1,ALO,9.0,Aston Martin,76.733,13.0,MEDIUM,1.379999999999999,2.1950000000000003,1.1699999999999982,9.0,27.5,308.0,2,0.8350870375558785,-0.5709252004898524
1,COL,9.0,Alpine,76.788,14.0,SOFT,1.532,2.192,1.075999999999997,9.0,27.5,298.0,1,0.804902399342231,-1.8151950214466115
1,GAS,9.0,Alpine,76.843,15.0,MEDIUM,1.3989999999999974,2.2860000000000014,1.1699999999999982,9.0,27.5,307.0,2,0.9719870300067404,-0.6268796930244073
1,HUL,9.0,Kick Sauber,76.9,16.0,SOFT,1.4889999999999972,2.2270000000000003,1.195999999999998,9.0,27.5,310.0,1,0.8851046988614821,-1.2777955286742229
0,OCO,9.0,Haas F1 Team,77.085,17.0,HARD,1.7189999999999976,2.1980000000000004,1.1799999999999997,9.0,27.5,302.0,3,1.4265740904723165,-0.27392390376803705
1,BOR,9.0,Kick Sauber,76.593,18.0,MEDIUM,1.2089999999999996,2.1750000000000007,1.221,9.0,27.5,311.0,2,0.6287845067708431,-0.3490817705794829
0,BEA,9.0,Haas F1 Team,76.801,19.0,HARD,1.2929999999999993,2.210000000000001,1.3099999999999987,9.0,27.5,304.0,3,0.9885340398013701,0.04351384812427185
