kmeans_labels,Driver,LapNumber,Team,LapTime_Sec,Position,Compound,S1_Delta,S2_Delta,S3_Delta,TyreLife,SpeedST,TrackTemp,Compound_Num,pca_x,pca_y
3,HAM,20.0,Ferrari,76.561,7.0,MEDIUM,1.2739999999999974,2.186,1.1129999999999995,20.0,308.0,26.7,2,1.1875878423656345,-0.25254032422642625
3,LAW,20.0,Racing Bulls,77.491,8.0,MEDIUM,1.6579999999999977,2.355999999999998,1.4889999999999972,20.0,279.0,26.7,2,2.7373129512042578,-0.37186766980975944
3,SAI,20.0,Williams,76.933,9.0,MEDIUM,1.2979999999999983,2.3999999999999986,1.2469999999999999,20.0,298.0,26.7,2,1.7996577588264122,-0.2467295479250353
3,ALB,20.0,Williams,76.704,10.0,MEDIUM,1.2149999999999999,2.312999999999999,1.1879999999999988,20.0,309.0,26.7,2,1.3871548079595128,-0.10564336786933103
3,ANT,20.0,Mercedes,76.641,11.0,MEDIUM,1.2679999999999971,2.056000000000001,1.328999999999997,20.0,317.0,26.7,2,1.150715631060592,0.33070333133275714
3,GAS,20.0,Alpine,77.573,12.0,MEDIUM,1.7099999999999973,2.3039999999999985,1.570999999999998,20.0,295.0,26.7,2,2.810839296880716,-0.11036415947416381
3,OCO,20.0,Haas F1 Team,77.631,13.0,HARD,2.0849999999999973,2.184000000000001,1.3739999999999988,20.0,289.0,26.7,3,3.1827716509253325,-0.6667375472343482
3,BOR,20.0,Kick Sauber,77.552,14.0,MEDIUM,1.6849999999999987,2.5859999999999985,1.2929999999999993,20.0,301.0,26.7,2,2.9834023961995397,-0.7426278136944557
3,BEA,20.0,Haas F1 Team,77.357,15.0,HARD,1.5969999999999978,2.529,1.2429999999999986,20.0,312.0,26.7,3,2.6676613386025765,-0.3231235888990089
3,STR,20.0,Aston Martin,77.321,16.0,HARD,1.6559999999999988,2.221,1.4559999999999995,12.0,308.0,26.7,3,2.414173302870651,-0.0928771338213185
1,ALO,20.0,Aston Martin,75.053,17.0,HARD,0.940999999999999,1.1640000000000015,0.9599999999999973,2.0,306.0,26.7,3,-1.6044050150406686,0.1828048334466254
1,PIA,21.0,McLaren,75.573,1.0,MEDIUM,0.7979999999999983,1.7270000000000003,1.0599999999999987,21.0,299.0,26.6,2,-0.6770862058390976,0.49761139314804076
1,NOR,21.0,McLaren,75.804,2.0,MEDIUM,1.0249999999999986,1.6900000000000013,1.100999999999999,21.0,297.0,26.6,2,-0.238172889551662,0.2948319632929427
3,VER,21.0,Red Bull Racing,76.706,3.0,SOFT,1.0849999999999973,2.3969999999999985,1.235999999999997,21.0,297.0,26.6,1,1.3245285234762902,-0.24610986931603118
3,HAD,21.0,Racing Bulls,76.532,4.0,MEDIUM,1.0109999999999992,2.375,1.1579999999999977,21.0,299.0,26.6,2,1.0858409896540888,0.0026119834801428352
3,LEC,21.0,Ferrari,76.487,5.0,MEDIUM,1.1899999999999977,2.161999999999999,1.1469999999999985,21.0,305.0,26.6,2,1.0271680751986325,-0.058880650762629896
3,RUS,21.0,Mercedes,76.473,6.0,MEDIUM,1.126999999999999,2.137999999999998,1.2199999999999989,21.0,302.0,26.6,2,0.9369373787262979,0.15142016760868987
3,HAM,21.0,Ferrari,76.468,7.0,MEDIUM,1.105999999999998,2.2439999999999998,1.129999999999999,21.0,305.0,26.6,2,0.9928288207763586,-0.03723660509856374
3,LAW,21.0,Racing Bulls,76.7,8.0,MEDIUM,1.3999999999999986,2.158999999999999,1.1529999999999987,21.0,294.0,26.6,2,1.4706362799046495,-0.4059175059604576
3,SAI,21.0,Williams,76.797,9.0,MEDIUM,1.2949999999999982,2.3150000000000013,1.198999999999998,21.0,300.0,26.6,2,1.5929725432986057,-0.23229784288074679
3,ALB,21.0,Williams,76.7,10.0,MEDIUM,1.1179999999999986,2.314,1.2799999999999976,21.0,311.0,26.6,2,1.3031495492918335,0.24292193087494732
3,ANT,21.0,Mercedes,76.683,11.0,MEDIUM,1.2809999999999988,2.0680000000000014,1.346,21.0,294.0,26.6,2,1.2655215458653466,0.17490113468319896
3,GAS,21.0,Alpine,77.262,12.0,MEDIUM,1.5380000000000003,2.2970000000000006,1.439,21.0,294.0,26.6,2,2.321203821782746,-0.11840701546487957
3,OCO,21.0,Haas F1 Team,77.27,13.0,HARD,1.686,2.1499999999999986,1.445999999999998,21.0,292.0,26.6,3,2.395491860914308,0.057676639141301236
3,BOR,21.0,Kick Sauber,77.509,14.0,MEDIUM,1.443999999999999,2.6980000000000004,1.3789999999999978,21.0,302.0,26.6,2,2.8111302494045765,-0.3020628678351531
3,BEA,21.0,Haas F1 Team,77.399,15.0,HARD,1.561,2.5779999999999994,1.2719999999999985,21.0,319.0,26.6,3,2.7231237085556796,-0.16130816084948296
3,STR,21.0,Aston Martin,76.803,16.0,HARD,1.2899999999999991,2.0380000000000003,1.4869999999999983,13.0,310.0,26.6,3,1.3696782215819423,0.5971624978084124
1,ALO,21.0,Aston Martin,75.58,17.0,HARD,0.9889999999999972,1.6129999999999995,0.9899999999999984,3.0,302.0,26.6,3,-0.6060112570079526,-0.10902886000723942
1,TSU,21.0,Red Bull Racing,75.319,18.0,HARD,1.1829999999999998,1.3589999999999982,0.7889999999999979,2.0,299.0,26.6,3,-0.9078147568982208,-0.639491664803735
3,COL,21.0,Alpine,76.107,19.0,HARD,1.725999999999999,1.3709999999999987,1.0219999999999985,2.0,296.0,26.6,3,0.4753056493625501,-0.9135993422462764
3,HUL,21.0,Kick Sauber,76.864,20.0,HARD,1.7929999999999993,1.8049999999999997,1.2779999999999987,2.0,296.0,26.6,3,1.7080647285170358,-0.7824561502518407
1,PIA,22.0,McLaren,75.421,1.0,MEDIUM,0.7799999999999976,1.7699999999999996,0.8829999999999991,22.0,299.0,26.6,2,-0.8204336317749102,0.18560602479577795
1,NOR,22.0,McLaren,75.347,2.0,MEDIUM,0.8269999999999982,1.6350000000000016,0.8969999999999985,22.0,301.0,26.6,2,-0.9675109890523155,0.25602830271647276
3,VER,22.0,Red Bull Racing,76.398,3.0,SOFT,1.1779999999999973,2.198999999999998,1.0329999999999977,22.0,296.0,26.6,1,0.9250550965976128,-0.6039888159774017
3,HAD,22.0,Racing Bulls,76.57,4.0,MEDIUM,1.0090000000000003,2.5360000000000014,1.036999999999999,22.0,298.0,26.6,2,1.2598659443535714,-0.3056484763040291
2,LEC,22.0,Ferrari,79.33,6.0,MEDIUM,1.514999999999997,2.2349999999999994,3.5919999999999987,22.0,305.0,26.6,2,4.4737491312961035,4.223691704892938
3,RUS,22.0,Mercedes,76.451,5.0,MEDIUM,1.1119999999999983,2.1580000000000013,1.1929999999999978,22.0,304.0,26.6,2,0.9156457299118366,0.15619166120400302
3,HAM,22.0,Ferrari,76.926,7.0,MEDIUM,1.2979999999999983,2.3359999999999985,1.3039999999999985,22.0,308.0,26.6,2,1.7444236484969255,0.05435066610109703
3,LAW,22.0,Racing Bulls,76.829,8.0,MEDIUM,1.2719999999999985,2.355999999999998,1.2129999999999974,22.0,294.0,26.5,2,1.6619802908456949,-0.2216561777053368
