Driver,Team,LapNumber,Stint,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall,IsInLap,IsOutLap,IsSafetyCar,IsFirstLap,IsCleanLap,Position,TeamColor,LapStartSeconds,TrackStatus
PIA,McLaren,25.0,2.0,83.23,27.46,28.338,27.432,HARD,9.0,True,311.0,314.0,312.0,320.0,32.6,45.76471685853756,31.64716858537561,1.7294337170751217,0.0,False,False,False,False,True,1.0,#888888,5405.359,1
PIA,McLaren,26.0,2.0,83.133,27.441,28.228,27.464,HARD,10.0,True,310.0,314.0,312.0,319.0,32.60341545539406,45.78975363381784,31.0,1.7170772769702625,0.0,False,False,False,False,True,1.0,#888888,5488.589,1
PIA,McLaren,27.0,2.0,83.088,27.455,28.212,27.421,HARD,11.0,True,311.0,314.0,313.0,318.0,32.65801666666667,45.5,31.0,2.2,0.0,False,False,False,False,True,1.0,#888888,5571.722,1
PIA,McLaren,28.0,2.0,83.168,27.391,28.206,27.571,HARD,12.0,True,312.0,315.0,312.0,320.0,32.51953800769987,45.33907601539974,31.0,1.8781520307994861,0.0,False,False,False,False,True,1.0,#888888,5654.81,1
PIA,McLaren,29.0,2.0,83.066,27.465,28.196,27.405,HARD,13.0,True,312.0,315.0,313.0,320.0,32.5,45.471573561762554,31.19063729084728,1.671573561762554,0.0,False,False,False,False,True,1.0,#888888,5737.978,1
PIA,McLaren,30.0,2.0,82.968,27.449,28.095,27.424,HARD,14.0,True,312.0,317.0,313.0,322.0,32.5,46.142498333333336,32.0,2.112491666666665,0.0,False,False,False,False,True,1.0,#888888,5821.044,1
PIA,McLaren,31.0,2.0,83.221,27.435,28.225,27.561,HARD,15.0,True,310.0,315.0,313.0,319.0,32.5,46.1,32.0,2.091560140664322,0.0,False,False,False,False,True,1.0,#888888,5904.012,1
PIA,McLaren,32.0,2.0,83.48,27.386,28.343,27.751,HARD,16.0,True,315.0,327.0,312.0,319.0,32.43449494191957,45.9,32.0,1.3344949419195713,0.0,False,False,False,False,True,1.0,#888888,5987.233,1
PIA,McLaren,33.0,2.0,83.148,27.43,28.226,27.492,HARD,17.0,True,313.0,317.0,314.0,321.0,32.5,45.75275981601227,32.0,1.4,0.0,False,False,False,False,True,1.0,#888888,6070.713,1
PIA,McLaren,34.0,2.0,83.456,27.449,28.47,27.537,HARD,18.0,True,313.0,317.0,314.0,320.0,32.7,45.67561373977101,32.0,1.348772520457991,0.0,False,False,False,False,True,1.0,#888888,6153.861,1
